"init" "" "" "" ""
"1" "1" "Mr Hi" "H" "1" "42"
"2" "1" "Actor 2" "2" "1" "23"
"3" "1" "Actor 3" "3" "1" "18"
"4" "1" "Actor 4" "4" "1" "33"
"5" "1" "Actor 5" "5" "1" "33"
"6" "1" "Actor 6" "6" "1" "24"
"7" "1" "Actor 7" "7" "1" "28"
"8" "1" "Actor 8" "8" "1" "38"
"9" "2" "Actor 9" "9" "2" "17"
"10" "2" "Actor 10" "10" "2" "49"
"11" "1" "Actor 11" "11" "1" "28"
"12" "1" "Actor 12" "12" "1" "29"
"13" "1" "Actor 13" "13" "1" "30"
"14" "1" "Actor 14" "14" "1" "23"
"15" "2" "Actor 15" "15" "2" "47"
"16" "2" "Actor 16" "16" "2" "30"
"17" "1" "Actor 17" "17" "1" "30"
"18" "1" "Actor 18" "18" "1" "21"
"19" "2" "Actor 19" "19" "2" "19"
"20" "1" "Actor 20" "20" "1" "23"
"21" "2" "Actor 21" "21" "2" "17"
"22" "1" "Actor 22" "22" "1" "23"
"23" "2" "Actor 23" "23" "2" "38"
"24" "2" "Actor 24" "24" "2" "31"
"25" "2" "Actor 25" "25" "2" "22"
"26" "2" "Actor 26" "26" "2" "30"
"27" "2" "Actor 27" "27" "2" "37"
"28" "2" "Actor 28" "28" "2" "21"
"29" "2" "Actor 29" "29" "2" "45"
"30" "2" "Actor 30" "30" "2" "40"
"31" "2" "Actor 31" "31" "2" "25"
"32" "2" "Actor 32" "32" "2" "32"
"33" "2" "Actor 33" "33" "2" "15"
"34" "2" "John A" "A" "2" "30"
